State,District,Latitude,Longitude,District code,Population,Households with Internet,Non Workers,Cultivator Workers,Agricultural Workers,Household Workers,Other Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others Religions,Below Primary Education,Primary Education,Middle Education,Secondary Education,Higher Education,Graduate Education,Other Education,sex ratio,Literacy Rate
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,3342,803817,208313,323788,9959,148107,1422986,17332,47653,2117,781,409,1782,246480,260661,210964,130700,93340,66358,8804,99.0,64.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,38570,1561231,206975,191182,32919,641893,2239370,227465,17452,7477,121791,12260,1159,231263,407662,335886,441072,221410,204507,19940,96.0,74.0
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,20261,2306208,383279,708993,34078,631314,3881485,103038,23181,16707,8397,17137,10680,618508,664470,552373,313247,267265,227382,31483,98.0,65.0
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,2737,1204079,465287,523356,12643,154521,2126195,81442,97432,2303,1287,623,48295,364452,338509,281260,135374,105992,64607,9524,98.0,50.0
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,1316,85652,1845,481,409,102786,171537,16087,2618,169,216,244,79,8957,28094,30406,26991,14170,9128,1995,53.0,79.0
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,6628,1619373,367311,333996,9645,412757,2397056,334858,2586,1110,1291,3841,77,271762,700258,294811,311849,137505,139957,30127,95.0,67.0
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,6628,1619373,367311,333996,9645,412757,2397056,334858,2586,1110,1291,3841,77,271762,700258,294811,311849,137505,139957,30127,95.0,67.0
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,23440,490350,15402,14120,8862,289274,622213,57941,134169,618,553,546,166,40968,101521,148792,153887,87513,86781,16601,96.0,81.0
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,17624,390947,15952,12640,5846,215152,341664,63623,231961,855,542,563,92,29874,73039,119869,108989,64786,57460,9579,99.0,78.0
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,126341,4619273,142670,268954,54876,2128452,6042416,883238,50754,14542,4518,209287,2055,761358,1614370,805199,1135058,549188,839295,100831,90.0,75.0
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,2538,857051,232126,209935,6083,208995,1410463,99105,919,415,243,2053,40,230474,412251,120625,149478,66785,50999,8582,96.0,66.0
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,9902,1247951,152412,346329,16460,329593,1798794,250919,29789,1524,267,8591,142,257524,560542,229013,283571,127459,110351,20487,92.0,74.0
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,3424,1871906,475585,350541,11812,410662,2890305,213505,1686,486,281,12659,83,366867,859436,159433,226765,105372,66950,14451,94.0,55.0
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,10257,923895,78120,253577,8902,286525,1188204,343511,9494,1733,442,4813,342,161675,367060,164765,188539,83895,74380,16036,93.0,72.0
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,7297,1729733,231796,334025,17996,566815,2632574,212863,3457,1410,445,26974,127,422461,929286,266953,281250,96241,93391,13946,93.0,66.0
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,12107,856777,104147,129356,8600,292873,1319586,57273,3237,1985,497,6405,82,136131,363156,133594,196456,95730,108400,16088,92.0,74.0
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,11573,1312679,264318,147193,11359,424570,1810443,320805,4392,1873,1086,18856,136,255785,491009,194057,199634,74029,87523,18573,94.0,65.0
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,9631,1316143,105876,183971,10802,475579,1608921,442355,6192,6353,490,25312,98,246956,469402,141345,157284,61366,60386,14062,91.0,60.0
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,5710,1365902,239241,359842,12455,322445,2000884,264482,26629,1403,300,3479,82,295057,641541,250044,310341,148530,84223,19498,94.0,72.0
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,7759,1223000,189760,242969,10282,369053,1885732,136431,1954,1082,146,7087,88,260278,467128,183468,266108,139208,130723,27391,93.0,74.0
